text,label
What is the OTIF rate this week?,kpi_lookup
Show me on-time delivery percentage for today,kpi_lookup
What is the current failed delivery rate?,kpi_lookup
How many deliveries were completed yesterday?,kpi_lookup
What is the SLA breach count this month?,kpi_lookup
Show me the return rate for last week,kpi_lookup
What is the average number of delivery attempts per order?,kpi_lookup
How many orders were delivered on first attempt today?,kpi_lookup
What is the delivery cost per shipment this quarter?,kpi_lookup
Show me total shipments dispatched this week,kpi_lookup
What is the on-time delivery rate for the North region?,kpi_lookup
How many SLA breaches happened last month?,kpi_lookup
What is the last mile cost per km today?,kpi_lookup
Show me failed deliveries for this week,kpi_lookup
What is the OTIF for courier partner A?,kpi_lookup
How many deliveries are pending right now?,kpi_lookup
What is the average delivery time this month?,kpi_lookup
Show me total orders delivered last quarter,kpi_lookup
What is the first attempt delivery success rate?,kpi_lookup
How many returns were raised this week?,kpi_lookup
What is current warehouse utilisation?,kpi_lookup
Show me fill rate for warehouse Mumbai,kpi_lookup
What is the dispatch accuracy this week?,kpi_lookup
How many orders are sitting in the warehouse right now?,kpi_lookup
What is the average dwell time for inbound shipments?,kpi_lookup
Show me pick accuracy for last month,kpi_lookup
What is the dock utilisation percentage today?,kpi_lookup
How many inbound shipments arrived this week?,kpi_lookup
What is the outbound dispatch count for today?,kpi_lookup
Show me warehouse throughput for last quarter,kpi_lookup
What is the inbound vs outbound ratio this month?,kpi_lookup
How many shipments are pending putaway?,kpi_lookup
What is the average time from dock to shelf?,kpi_lookup
Show me warehouse capacity used today,kpi_lookup
What is the order processing time this week?,kpi_lookup
What is the current load factor for today's shipments?,kpi_lookup
Show me rejection rate for load consolidation this week,kpi_lookup
What is the consolidation efficiency this month?,kpi_lookup
How many loads were rejected today?,kpi_lookup
What is the average transit time for consolidated loads?,kpi_lookup
Show me cost per kg for this week,kpi_lookup
What is truck utilisation percentage today?,kpi_lookup
How many routes deviated from plan this week?,kpi_lookup
What is the route adherence rate for last month?,kpi_lookup
Show me total loads consolidated this quarter,kpi_lookup
What is the average load weight this week?,kpi_lookup
How many partial loads were dispatched today?,kpi_lookup
What is the fill percentage per truck this month?,kpi_lookup
Show me consolidation cost savings for last quarter,kpi_lookup
What is the average number of stops per consolidated route?,kpi_lookup
Show me OTIF trend over the last 30 days,trend_analysis
How has the on-time delivery rate changed week by week this quarter?,trend_analysis
Plot failed deliveries day by day for the past 2 weeks,trend_analysis
How has SLA breach count trended over the last 3 months?,trend_analysis
Show me daily delivery attempt rate for this month,trend_analysis
How did return rate change month by month this year?,trend_analysis
Show last mile cost per shipment trend for last 6 months,trend_analysis
How has first attempt success rate trended this quarter?,trend_analysis
Plot OTIF weekly for the past year,trend_analysis
Show me delivery volume trend over the last 90 days,trend_analysis
How has average delivery time changed over the last 30 days?,trend_analysis
Show courier partner performance trend for the last 6 months,trend_analysis
How did SLA breaches trend during festive season last year?,trend_analysis
Plot daily failed deliveries for the North region last month,trend_analysis
How has last mile cost trended year over year?,trend_analysis
Show me warehouse utilisation trend for the past 6 months,trend_analysis
How has fill rate changed week by week this quarter?,trend_analysis
Plot dispatch accuracy month by month for this year,trend_analysis
How did dwell time trend over the last 90 days?,trend_analysis
Show inbound shipment volume trend for last 3 months,trend_analysis
How has pick accuracy changed over the last 6 months?,trend_analysis
Plot dock utilisation daily for the past month,trend_analysis
Show warehouse throughput trend for the last year,trend_analysis
How did processing time trend week by week this quarter?,trend_analysis
Show me outbound volume trend for last 6 months,trend_analysis
How has load factor trended over the last 3 months?,trend_analysis
Show rejection rate trend week by week for this quarter,trend_analysis
How did consolidation efficiency change month by month this year?,trend_analysis
Plot transit time trend for consolidated loads over last 6 months,trend_analysis
How has cost per kg changed over the last year?,trend_analysis
Show truck utilisation trend for the past 3 months,trend_analysis
How did route adherence rate trend over the last 90 days?,trend_analysis
Plot load consolidation volume month by month for this year,trend_analysis
How has partial load percentage trended this quarter?,trend_analysis
Show me consolidation cost savings trend for the last 6 months,trend_analysis
How did OTIF change during the last holiday season?,trend_analysis
Show me weekly SLA breach trend for the East region,trend_analysis
How has return rate trended for non-metro areas this year?,trend_analysis
Plot daily shipment volume for the past 60 days,trend_analysis
How has last mile delivery success rate changed over last 12 months?,trend_analysis
Show dock utilisation trend for warehouse Delhi over last quarter,trend_analysis
How did pick accuracy trend for warehouse Chennai last 6 months?,trend_analysis
Plot inbound vs outbound ratio trend for the past year,trend_analysis
How has average dwell time changed in the last 6 months?,trend_analysis
Show consolidation efficiency trend by corridor for last 3 months,trend_analysis
How did truck utilisation trend for South corridor last quarter?,trend_analysis
Plot cost per kg trend separately for FTL and LTL loads,trend_analysis
How has route adherence trended for the East corridor this year?,trend_analysis
Show partial load trend week by week for the past 3 months,trend_analysis
How did load rejection rate trend by warehouse over last 6 months?,trend_analysis
Compare OTIF between North and South regions this month,comparison
Which courier partner has the best on-time delivery rate?,comparison
How does last mile performance compare across regions this quarter?,comparison
Compare failed delivery rate between courier A and courier B,comparison
Which region has the highest SLA breach count this month?,comparison
How does return rate compare between metro and non-metro areas?,comparison
Compare delivery cost per shipment across all courier partners,comparison
Which city has the best first attempt delivery success rate?,comparison
Compare OTIF this month vs last month,comparison
How does delivery performance compare between weekdays and weekends?,comparison
Which courier partner has the lowest average delivery time?,comparison
Compare SLA breaches across all regions for this quarter,comparison
How does North region OTIF compare to company average?,comparison
Compare last mile cost between Q1 and Q2 this year,comparison
Which route has the most failed deliveries this month?,comparison
Compare warehouse utilisation between Mumbai and Delhi,comparison
Which warehouse has the best dispatch accuracy this quarter?,comparison
How does fill rate compare across all warehouses?,comparison
Compare dwell time between inbound and outbound shipments,comparison
Which warehouse has the lowest pick accuracy this month?,comparison
Compare dock utilisation across all warehouse locations,comparison
How does warehouse A throughput compare to warehouse B?,comparison
Compare inbound shipment volumes across all warehouses this quarter,comparison
Which warehouse has the highest order processing time?,comparison
Compare dispatch accuracy between this month and last month,comparison
Compare load factor between route A and route B,comparison
Which consolidation route has the highest rejection rate?,comparison
How does cost per kg compare across different load types?,comparison
Compare truck utilisation between North and South corridors,comparison
Which route has the best consolidation efficiency this month?,comparison
Compare transit time for consolidated vs non-consolidated loads,comparison
